text,label
I absolutely love this product! Best purchase ever,2
This is terrible and a complete waste of money,0
The movie was okay but nothing special,1
Python is amazing for data science projects,2
I hate waiting in long queues at the store,0
Machine learning is fascinating and powerful,2
The service was average at best,1
Fantastic experience! Highly recommend,2
Worst customer support I ever experienced,0
Could be better but acceptable,1
Love this new feature update,2
Complete disaster from start to finish,0
Nothing remarkable about this,1
Absolutely stellar performance,2
Very disappointing results,0
It works as expected nothing more,1
Excellent quality and fast delivery,2
Totally useless product,0
Neutral feelings about this restaurant,1
The best day ever!,2
Extremely frustrated with this,0
Just another ordinary item,1
Outstanding work by the team,2
Dreadful experience overall,0
Mediocre at best,1
I'm so happy with this decision,2
This is the worst thing,0
Normal average experience,1
Wonderful and fantastic,2
Absolutely terrible,0
So-so not great not bad,1
Best thing I've ever bought,2
Horrible and unwelcome,0
It's fine I guess,1
Amazing breakthrough in technology,2
Extremely bad quality,0
Acceptable but unremarkable,1
Beautiful and perfect,2
Devastating disappointment,0
Fair and reasonable,1
Spectacular results beyond expectations,2
Ruined my entire day,0
Nothing special about it,1
Phenomenal experience overall,2
This sucks completely,0
Just typical nothing new,1
Paradise on earth,2
Absolute nightmare,0
